Temperature	Germanium	Nickel	Copper
T	        R1	        R2	    R3
K	        au	        au	    au
299.267	    1.051524	1.000033	0.993136
299.023	    1.052477	1.000033	0.992616
298.779	    1.053438	0.980802	0.992096
298.779	    1.055345	1.000033	0.992096
298.535	    1.057252	1.000033	0.991057
298.535	    1.062019	1.000033	0.990537
298.291	    1.070607	1.000033	0.990017
298.046	    1.080149	1.000033	0.988453
297.802	    1.090645	1.000033	0.986894
297.314	    1.101148	1.000033	0.984815
296.825	    1.111643	1.000033	0.983251
296.337	    1.121185	1.000033	0.981692
295.727	    1.131681	1.000033	0.980132
295.116	    1.141223	0.980802	0.978049
294.628	    1.150765	1.000033	0.975969
293.895	    1.16126	    0.980802	0.973886
293.162	    1.170802	0.980802	0.971807
292.43	    1.180344	0.980802	0.968683
291.819	    1.189886	0.980802	0.967124
291.087	    1.199428	0.980802	0.964525
290.476	    1.20897	    0.96157	    0.962441
289.744	    1.217558	0.96157	    0.959323
288.889	    1.226147	0.96157	    0.956719
288.156	    1.233774	0.96157	    0.95412
287.424	    1.241409	0.942339	0.952037
286.691	    1.248091	0.942339	0.948918
285.714	    1.254773	0.942339	0.946834
284.86	    1.261447	0.942339	0.944235
284.249	    1.267175	0.942339	0.941112
283.394	    1.270989	0.942339	0.938513
282.54	    1.275764	0.923108	0.93591
281.807	    1.279577	0.923108	0.932791
280.952	    1.282445	0.923108	0.930187
280.22	    1.285306	0.923108	0.927064
279.365	    1.288166	0.923108	0.924465
278.632	    1.289119	0.903876	0.921862
277.9	    1.290073	0.903876	0.919263
277.045	    1.291026	0.903876	0.91666
276.313	    1.291026	0.903876	0.913541
275.458	    1.291026	0.903876	0.910937
274.725	    1.291026	0.884645	0.908338
273.871	    1.290073	0.884645	0.905735
273.016	    1.289119	0.884645	0.903136
272.405	    1.288166	0.865413	0.900533
271.551	    1.285306	0.865413	0.897934
270.818	    1.284352	0.884645	0.89533
269.963	    1.281484	0.865413	0.893251
269.353	    1.279577	0.865413	0.890648
268.62	    1.276717	0.865413	0.887529
267.766	    1.273857	0.865413	0.885445
267.155	    1.270989	0.846182	0.882846
266.3	    1.268129	0.865413	0.880243
265.69	    1.265268	0.846182	0.878164
264.835	    1.261447	0.846182	0.87504
264.225	    1.258587	0.846182	0.872961
263.492	    1.254773	0.826951	0.870362
262.882	    1.251905	0.826951	0.868279
262.149	    1.248091	0.826951	0.866199
261.416	    1.244278	0.826951	0.863596
260.684	    1.240456	0.826951	0.860997
259.951	    1.236642	0.826951	0.858914
259.341	    1.232821	0.807719	0.856314
258.608	    1.229007	0.807719	0.854231
258.12	    1.225194	0.807719	0.851632
257.387	    1.221372	0.807719	0.849553
256.777	    1.217558	0.788488	0.846949
256.044	    1.213737	0.807719	0.84487
255.433	    1.209923	0.788488	0.842787
254.823	    1.20611	    0.788488	0.840707
254.212	    1.202288	0.788488	0.838624
253.602	    1.198475	0.788488	0.836545
252.991	    1.194653	0.788488	0.834465
252.381	    1.190839	0.788488	0.831862
251.77	    1.187026	0.769255	0.830303
251.16	    1.183204	0.788488	0.828219
250.549	    1.179391	0.769255	0.82614
249.939	    1.175569	0.769255	0.824061
