Time	Potential 1	Potential 2	Potential 3	Potential 4
t	    Pot 1	    Pot 2	    Pot 3	    Pot 4	   
s	    V	        V	        V	        V	       
								
0	    1.345540	0.063492	2.330890	2.992670	
10	    1.346760	0.063492	2.329670	2.990230	
20	    1.347990	0.062271	2.328450	2.987790	
30	    1.350430	0.063492	2.328450	2.987790	
40	    1.352870	0.063492	2.326010	2.985350	
50	    1.358970	0.063492	2.324790	2.985350	
60	    1.369960	0.063492	2.323570	2.982910	
70	    1.382170	0.063492	2.319900	2.980460	
80	    1.395600	0.063492	2.316240	2.978020	
90	    1.409040	0.063492	2.311360	2.973140	
100	    1.422470	0.063492	2.307690	2.968250	
110	    1.434680	0.063492	2.304030	2.963370	
120	    1.448110	0.063492	2.300370	2.957270	
130	    1.460320	0.062271	2.295480	2.951160	
140	    1.472530	0.063492	2.290600	2.946280	
150	    1.485960	0.062271	2.285710	2.938950	
160	    1.498170	0.062271	2.280830	2.931620	
170	    1.510380	0.062271	2.273500	2.924300	
180	    1.522590	0.062271	2.269840	2.918190	
190	    1.534800	0.062271	2.263740	2.910870	
200	    1.547010	0.061050	2.258850	2.904760	
210	    1.558000	0.061050	2.251530	2.897440	
220	    1.568990	0.061050	2.245420	2.888890	
230	    1.578750	0.061050	2.239320	2.881560	
240	    1.588520	0.059829	2.234430	2.874240	
250	    1.597070	0.059829	2.227110	2.866910	
260	    1.605620	0.059829	2.222220	2.857140	
270	    1.614160	0.059829	2.216120	2.848600	
280	    1.621490	0.059829	2.208790	2.842490	
290	    1.626370	0.059829	2.202690	2.833940	
300	    1.632480	0.058608	2.196580	2.825400	
310	    1.637360	0.058608	2.189260	2.818070	
320	    1.641030	0.058608	2.183150	2.809520	
330	    1.644690	0.058608	2.175820	2.802200	
340	    1.648350	0.058608	2.169720	2.793650	
350	    1.649570	0.057387	2.163610	2.786320	
360 	1.650790	0.057387	2.157510	2.779000	
370	    1.652010	0.057387	2.151400	2.770450	
380	    1.652010	0.057387	2.144080	2.763130	
390	    1.652010	0.057387	2.137970	2.754580	
400	    1.652010	0.056166	2.131870	2.747250	
410	    1.650790	0.056166	2.125760	2.738710	
420	    1.649570	0.056166	2.119660	2.730160	
430	    1.648350	0.054945	2.113550	2.724050	
440	    1.644690	0.054945	2.107450	2.715510	
450	    1.643470	0.056166	2.101340	2.708180	
460	    1.639800	0.054945	2.096460	2.699630	
470	    1.637360	0.054945	2.090350	2.693530	
480	    1.633700	0.054945	2.083030	2.686200	
490	    1.630040	0.054945	2.078140	2.677660	
500	    1.626370	0.053724	2.072040	2.671550	
510     1.622710	0.054945	2.065930	2.663000	
520 	1.619050	0.053724	2.061050	2.656900	
530	    1.614160	0.053724	2.053720	2.648350	
540 	1.610500	0.053724	2.048840	2.642250	
550	    1.605620	0.052503	2.042740	2.634920	
560	    1.601950	0.052503	2.037850	2.628820	
570	    1.597070	0.052503	2.032970	2.621490	
580	    1.592190	0.052503	2.026860	2.614160	
590	    1.587300	0.052503	2.020760	2.606840	
600	    1.582420	0.052503	2.015870	2.599510	
